feature_a,feature_b,pairwise_mi,pair_rank,dependency_rank,combined_label_mi,selection_source,candidate_rank,feature_a_label_mi,feature_b_label_mi,model_feature_a,model_feature_b,interaction_name,cv_roc_auc,delta_cv_roc_auc,test_roc_auc,delta_test_roc_auc,test_f1,high_dependency,evidence_code
age,hours_per_week,0.06572005036734621,11,1,0.098547391854431,mi_top_pair,1,0.06356505093220327,0.034982340922227725,age,hours_per_week,interaction__age__x__hours_per_week,0.9002727183902609,0.00017370433026120402,0.8976796680587726,0.00021017426477010215,0.6465313827277017,True,unstable
age,education_num,0.05170158695058482,15,2,0.12528493527641643,mi_top_pair,2,0.06356505093220327,0.061719884344213174,age,education_num,interaction__age__x__education_num,0.9000726768088215,-2.6337251178176757e-05,0.8974570611933754,-1.2432600627110268e-05,0.6471835965119019,True,unstable
education_num,hours_per_week,0.026485073418656115,22,3,0.0967022252664409,mi_top_pair,3,0.061719884344213174,0.034982340922227725,education_num,hours_per_week,interaction__education_num__x__hours_per_week,0.9000565136559684,-4.250040403130928e-05,0.8974668748897039,-2.6189042986457522e-06,0.6495283018867924,True,unstable
education_num,capital_gain,0.015961818915539945,28,4,0.11528477623723425,mi_top_pair,4,0.061719884344213174,0.05356489189302108,education_num,capital_gain_log1p,interaction__education_num__x__capital_gain_log1p,0.900073622537801,-2.5391522198714434e-05,0.8975265916635499,5.709786954732898e-05,0.6486997635933807,True,unstable
capital_gain,hours_per_week,0.007698499318198807,43,6,0.0885472328152488,domain_plausibility_reserve,5,0.05356489189302108,0.034982340922227725,capital_gain_log1p,hours_per_week,interaction__capital_gain_log1p__x__hours_per_week,0.9001408444985597,4.183043855998658e-05,0.8974031865906574,-6.63072033451062e-05,0.6491973559962229,False,unstable
