model,accuracy,precision,recall,f1,roc_auc,C,interaction_count,selected_interactions,params,best_cv_roc_auc
logistic_baseline,0.8476814412938888,0.7234490010515248,0.5885372112917023,0.6490566037735849,0.8974694937940025,1.0,,,,
baseline_main_effects,0.8476814412938888,0.7234490010515248,0.5885372112917023,0.6490566037735849,0.8974694937940025,1.0,0.0,,,
interaction_augmented,,,,,,1.0,0.0,,,
svm_poly,0.8574060804585935,0.7514635444385311,0.6039349871685201,0.669670381788001,0.9050510778431603,,,,"{'C': 1.0, 'degree': 2, 'gamma': 'scale', 'coef0': 1.0}",0.8975150729065541
svm_linear,0.8468625243115979,0.7261009667024705,0.5782720273738238,0.6438095238095238,0.8972687303172074,,,,{'C': 0.1},0.89324281045239
svm_rbf,0.8574060804585935,0.7509293680297398,0.6047904191616766,0.6699834162520729,0.896474022368781,,,,"{'C': 3.0, 'gamma': 0.05}",0.8923392699592788
