family,params,best_cv_roc_auc,accuracy,precision,recall,f1,roc_auc
poly,"{'C': 1.0, 'degree': 2, 'gamma': 'scale', 'coef0': 1.0}",0.8975150729065541,0.8574060804585935,0.7514635444385311,0.6039349871685201,0.669670381788001,0.9050510778431603
linear,{'C': 0.1},0.89324281045239,0.8468625243115979,0.7261009667024705,0.5782720273738238,0.6438095238095238,0.8972687303172074
rbf,"{'C': 3.0, 'gamma': 0.05}",0.8923392699592788,0.8574060804585935,0.7509293680297398,0.6047904191616766,0.6699834162520729,0.896474022368781
